source_dataset,relative_path,filename,extension,file_size,width,height,raw_class_name,is_augmented,sha256,phash,error
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_4489.jpg,aug_0_4489.jpg,.jpg,17763,224,224,Healthy,True,c618f071ee3592d85793d8c6bb6dc5c84c3fe5a2b2a176972b2b59615dce3a8a,dfac8962c29f141b,
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_4396.jpg,aug_0_4396.jpg,.jpg,17745,224,224,Healthy,True,13913af407c308b9642d6fc4b67e1a3621ee04d89bc2abb9175e623e949f634c,e4b00ed89f54e3b4,
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_7881.jpg,aug_0_7881.jpg,.jpg,16810,224,224,Healthy,True,328a059a6ecd52dd0d258d3658a78af4122a9002f3e5462330ffa55f9b440f34,f9fb8266ca2d0e03,
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_7794.jpg,aug_0_7794.jpg,.jpg,17309,224,224,Healthy,True,f1f37cc06edf5e9bdbcfcdfbc7d1239aed97181d24eca70d6b8cc7c617b1b9b1,df127b13215959ac,
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_4593.jpg,aug_0_4593.jpg,.jpg,15896,224,224,Healthy,True,abda4dc362aba098eeb684837c70e6298649479ee79859b358fb1c43b8985bd6,d74a5e9991324c79,
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_7133.jpg,aug_0_7133.jpg,.jpg,17759,224,224,Healthy,True,dce665a62f197032a88eca72887de4c5f08d04e6812254179af0d918e3a30480,d0add34ee594d612,
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_634.jpg,aug_0_634.jpg,.jpg,17895,224,224,Healthy,True,98a4810b3963c0ed663d7a81db8b48938d3b37a9fa2c331d3ce1abcb084df707,f2128e32135d7da6,
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_6835.jpg,aug_0_6835.jpg,.jpg,16327,224,224,Healthy,True,3661ff97800a30716aca806dce71668d89244aa6e17407bd1b4be5b659868e97,d0a6291e6769cccb,
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_8977.jpg,aug_0_8977.jpg,.jpg,17800,224,224,Healthy,True,5275033ceca06c1c0636e4fa7b31ea3ee5b01f5cc6008069b64c1db024a96b3d,c9b07e8bdd351168,
potato_bangladesh,Potato Leaf Disease Dataset/Healthy/aug_0_6033.jpg,aug_0_6033.jpg,.jpg,19501,224,224,Healthy,True,d0432ea3aefbfabd6785e8e70260067cfc6bd2701d5825bfc46c77535eec2fe5,8042ddee6746ceac,
